Titre Événement,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Signature du Traité de paix d'Amiens,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/signature_du_trait_de_paix_damiens_6f4e37f6.webp,49587d57-07d2-4d91-9516-48aa07ae246e,
Vente de la Louisiane par Napoléon aux États-Unis,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/vente_de_la_louisiane_par_napolon_aux_tats_unis_53a77a95.webp,f6ef45e6-9b56-494c-b075-23b3b2ef2255,
Bataille de Trafalgar,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_trafalgar_5f84faa6.webp,1e68f008-0fb0-43d0-ada2-dc1cbef71154,
Dissolution du Saint-Empire romain germanique,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dissolution_du_saint_empire_romain_germanique_7e03d45d.webp,74ebc03f-5cbb-4f78-82b4-3eb3db5e154d,
