Titre Événement,Types Événement,Modèle Utilisé,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Signature du Traité de paix d'Amiens,"[""Politique"", ""Diplomatique"", ""Historique""]",FLUX.1 [schnell],SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/signature_du_trait_de_paix_damiens_a264a238.webp,2395291f-d5e7-42db-8934-ac75f8fabce7,
Vente de la Louisiane par Napoléon aux États-Unis,"[""Politique"", ""Diplomatique"", ""Historique""]",FLUX.1 [schnell],SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/vente_de_la_louisiane_par_napolon_aux_tats_unis_49231f15.webp,51d91f10-eb2c-4877-919e-ebb105290ce9,
Bataille de Trafalgar,"[""Militaire"", ""Historique""]",FLUX.1 [schnell],SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_trafalgar_cfb0fd59.webp,9c2510e8-d16b-4231-af72-9d16107dc374,
Dissolution du Saint-Empire romain germanique,"[""Politique"", ""Historique""]",FLUX.1 [schnell],SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dissolution_du_saint_empire_romain_germanique_b25ea32d.webp,71665b61-c99b-4a67-9375-2a13464c74f9,
