Titre Événement,Types Événement,Modèle Utilisé,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Première utilisation de la boussole en navigation européenne,"[""Technologique"", ""Maritime""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_utilisation_de_la_boussole_en_navigation_e_38d72b33.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Fondation de Carthage par les Phéniciens,"[""Politique"", ""Commercial""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_carthage_par_les_phniciens_b53d148b.webp,,Unexpected non-whitespace character after JSON at position 11 (line 1 column 12)
Bataille de Marathon,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_marathon_cd0cac02.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Début de la Première Guerre punique,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_premire_guerre_punique_44ce4ec7.webp,,"Expected ',' or ']' after array element in JSON at position 9 (line 1 column 10)"
Bataille d'Actium et victoire d'Octave,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_dactium_et_victoire_doctave_68a701d0.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Destruction de la Bibliothèque d'Alexandrie (première fois),"[""Culturel"", ""Religieux""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/destruction_de_la_bibliothque_dalexandrie_premire__70ba27f2.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Appel à la Première Croisade par le pape Urbain II,"[""Religieux"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/appel_la_premire_croisade_par_le_pape_urbain_ii_c5f80711.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Fondation de Lübeck et essor de la Hanse,"[""Commercial"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_lbeck_et_essor_de_la_hanse_d97b72fb.webp,,Unexpected non-whitespace character after JSON at position 13 (line 1 column 14)
Apogée de la construction de l'Alhambra de Grenade,"[""Architectural"", ""Artistique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/apoge_de_la_construction_de_lalhambra_de_grenade_4ed1c9a3.webp,,Unexpected non-whitespace character after JSON at position 11 (line 1 column 12)
Construction des murs en pierre du Kremlin de Moscou,"[""Architectural"", ""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/construction_des_murs_en_pierre_du_kremlin_de_mosc_175582dc.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Fondation de la banque des Médicis,"[""Économique"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_la_banque_des_mdicis_b299738d.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Victoire de Jeanne d'Arc au siège d'Orléans,"[""Militaire"", ""Religieux""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/victoire_de_jeanne_darc_au_sige_dorlans_c96b78c5.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Maison de la Sagesse à Bagdad,"[""Scientifique"", ""Culturel""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/maison_de_la_sagesse_bagdad_61b160ea.webp,,Unexpected non-whitespace character after JSON at position 8 (line 1 column 9)
Première mention du café en Éthiopie,"[""Culturel"", ""Commercial""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_mention_du_caf_en_thiopie_c0d8f825.webp,,Unexpected non-whitespace character after JSON at position 12 (line 1 column 13)
Conquête normande de l'Italie du Sud,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/conqute_normande_de_litalie_du_sud_f08165ec.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Bataille de la Kalka,"[""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_la_kalka_8b6a16d3.webp,,"Expected ',' or ']' after array element in JSON at position 10 (line 1 column 11)"
Fondation légendaire de Rome,"[""Mythologique"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_lgendaire_de_rome_376f1f5d.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Début de la Guerre du Péloponnèse,"[""Militaire"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_guerre_du_ploponnse_20ff2eed.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Bataille de Cannes,"[""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_cannes_99811485.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Crucifixion de Spartacus et de ses partisans,"[""Militaire"", ""Social""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/crucifixion_de_spartacus_et_de_ses_partisans_abbe7c7c.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Assassinat de Jules César,"[""Politique"", ""Militaire""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/assassinat_de_jules_csar_73a9ec99.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Élection du premier Doge de Venise,"[""Politique"", ""Commercial""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/lection_du_premier_doge_de_venise_4b1a41e7.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Couronnement impérial de Charlemagne,"[""Politique"", ""Religieux""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/couronnement_imprial_de_charlemagne_f9d3e568.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Publication du traité d'algèbre par Al-Khwarizmi,"[""Mathématique"", ""Scientifique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/publication_du_trait_dalgbre_par_al_khwarizmi_4b138817.webp,,Unexpected non-whitespace character after JSON at position 15 (line 1 column 16)
Fondation de l'université Al-Qarawiyyin à Fès,"[""Éducatif"", ""Religieux""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_luniversit_al_qarawiyyin_fs_ba43e939.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Fondation de l'Université d'Oxford,"[""Éducatif"", ""Culturel""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/fondation_de_luniversit_doxford_001db774.webp,,Unexpected non-whitespace character after JSON at position 15 (line 1 column 16)
Première utilisation du moulin à vent en Europe,"[""Technologique"", ""Agricole""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premire_utilisation_du_moulin_vent_en_europe_4341882e.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
Premier Parlement d'Angleterre avec des représentants des bourgs,"[""Politique"", ""Juridique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/premier_parlement_dangleterre_avec_des_reprsentant_945e181c.webp,,Unexpected non-whitespace character after JSON at position 15 (line 1 column 16)
Début de la Papauté d'Avignon,"[""Religieux"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_papaut_davignon_c77e615e.webp,,Unexpected non-whitespace character after JSON at position 10 (line 1 column 11)
Révolte des Paysans en Angleterre,"[""Social"", ""Politique""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/rvolte_des_paysans_en_angleterre_8b37272c.webp,,Unexpected non-whitespace character after JSON at position 15 (line 1 column 16)
Début des voyages de l'amiral Zheng He,"[""Exploration"", ""Maritime""]",FLUX.1 [schnell],FAILED,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_des_voyages_de_lamiral_zheng_he_b9f9eee2.webp,,Unexpected non-whitespace character after JSON at position 9 (line 1 column 10)
