titre,status,attempts,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_l_1750187310431.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Tibère"",""Triomphe"",""Germanie"",""Auguste""]"""
"Germanicus capture Thusnelda","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_1750187320990.webp","Erreur à la tentative 3: Code invalide ou manquant dans le CSV pour ""Germanicus capture Thusnelda"": ""15 apr. J.-C."""
"Triomphe de Germanicus à Rome","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_1750187332093.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Germanicus"",""Triomphe"",""Tibère"",""Germanie""]"""
"Mort de Germanicus à Antioche","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_1750187342973.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Germanicus"",""Tibère"",""Poison"",""Succession""]"""
"Révolte de Sacrovir et Florus en Gaule","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_1750187354112.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Gaule"",""Révolte"",""Impôts"",""Tibère""]"""
"Tibère se retire à Capri","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_1750187364527.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Tibère"",""Capri"",""Séjan"",""Empire romain""]"""
"Révolte des Frisons","FAILED_AFTER_RETRIES",3,"https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_1750187375966.webp","Erreur à la tentative 3: Erreur de base de données : malformed array literal: ""[""Rome"",""Frisons"",""Germanie"",""Révolte"",""Tibère""]"""
