titre,epoque,prompt_source,status,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","Antiquité","CSV PERSONNALISÉ","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_les_pannoni_69420542.webp",""
"Germanicus capture Thusnelda","6","AUTO-GÉNÉRÉ","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_d1c49b3a.webp","Erreur d'insertion DB: value too long for type character varying(5)"
"Triomphe de Germanicus à Rome","Antiquité","CSV PERSONNALISÉ","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_3eeb017a.webp","Erreur d'insertion DB: duplicate key value violates unique constraint ""goju_unique_code"""
"Mort de Germanicus à Antioche","Antiquité","CSV PERSONNALISÉ","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_c01d1dd5.webp",""
"Révolte de Sacrovir et Florus en Gaule","Antiquité","CSV PERSONNALISÉ","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_be9ac056.webp",""
"Tibère se retire à Capri","Antiquité","CSV PERSONNALISÉ","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_9716d27c.webp",""
"Révolte des Frisons","Antiquité","CSV PERSONNALISÉ","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_659e4dc2.webp","Erreur d'insertion DB: duplicate key value violates unique constraint ""goju_unique_code"""
