titre,status,attempts,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Germanicus capture Thusnelda","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Triomphe de Germanicus à Rome","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Mort de Germanicus à Antioche","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Révolte de Sacrovir et Florus en Gaule","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Tibère se retire à Capri","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
"Révolte des Frisons","FAILED_AFTER_RETRIES",4,"N/A","Échec de la validation à la tentative 4."
