index,titre,prompt_source,status,image_url,error
1,"Triomphe de Tibère sur les Germains et les Pannoniens","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_l_1750184354022.webp",""
2,"Germanicus capture Thusnelda","AUTO","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_1750184358373.webp","DB Error: value too long for type character varying(5)"
3,"Triomphe de Germanicus à Rome","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_1750184362953.webp",""
4,"Mort de Germanicus à Antioche","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_1750184366632.webp",""
5,"Révolte de Sacrovir et Florus en Gaule","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_1750184370462.webp",""
6,"Tibère se retire à Capri","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_1750184374479.webp",""
7,"Révolte des Frisons","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_1750184378308.webp",""
