index,titre,prompt_source,status,image_url,error
1,"Triomphe de Tibère sur les Germains et les Pannoniens","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_tib_re_sur_les_germains_et_l_1750185358269.webp",""
2,"Germanicus capture Thusnelda","AUTO","FAILED","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/germanicus_capture_thusnelda_1750185362446.webp","Code invalide ou manquant dans le CSV pour ""Germanicus capture Thusnelda"": ""15 apr. J.-C."""
3,"Triomphe de Germanicus à Rome","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/triomphe_de_germanicus___rome_1750185366417.webp",""
4,"Mort de Germanicus à Antioche","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/mort_de_germanicus___antioche_1750185370784.webp",""
5,"Révolte de Sacrovir et Florus en Gaule","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_de_sacrovir_et_florus_en_gaule_1750185374519.webp",""
6,"Tibère se retire à Capri","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/tib_re_se_retire___capri_1750185378854.webp",""
7,"Révolte des Frisons","CSV","SUCCESS","https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/r_volte_des_frisons_1750185382734.webp",""
